vse_id,name,zip_code,city
106230,Gemeinde Bottighofen,8598,Bottighofen
106240,Viteos SA,2000,Neuchâtel
106250,Gemeinde- Elektrizitätswerk Gottlieben,8274,Gottlieben
106260,Elektrizitätswerk Gemeinde Bergün Filisur,7477,Filisur
106270,EW Turgi Hydroelectra AG,9435,Heerbrugg
106280,Elektrizitäts-Genossenschaft Riniken (EGR),5223,Riniken
106290,Genossenschaft Energie Fischingen,8374,Dussnang
106300,Kraftwerke Vorderrhein AG,5400,Baden
106310,AEW Energie AG,5000,Aarau
106320,Commune mixte de Nods,2518,Nods
106330,Einwohnergemeinde Biglen,3507,Biglen
106340,Kraftwerk Sarneraa AG,6015,Luzern
106350,Stadtwerke Konstanz GmbH,78464,Konstanz
106360,Elektra-Genossenschaft Abtwil,5646,Abtwil
106370,Arosa Energie,7050,Arosa
106380,Forces Motrices d'Orsières (FMO),1937,Orsières
106390,Elektra Sissach,4450,Sissach
106400,EW Oftringen AG,4665,Oftringen
106410,Gemeindeverwaltung Braunau,9502,Braunau
106420,Elektrizitäts-Genossenschaft Herdern,8506,Lanzenneunforn
106430,Elektra Sins,5643,Sins
106440,Elektra Luthern,6156,Luthern
106450,Energieversorgung Schams / Avers,7440,Andeer
106460,Genossenschaft Energie Fischingen,8374,Dussnang
106470,Elektrizitäts-Genossenschaft Schönholzerswilen,8577,Schönholzerswilen
106480,Elektrizitätsversorgung der Politischen Gemeinde Felben-Wellhausen,8552,Felben-Wellhausen
106490,Kraftwerke Hinterrhein AG,7430,Thusis
106500,Kraftwerk Sanetsch AG,3000,Bern
