Ortschaftsname,PLZ,Zusatzziffer,Gemeindename,BFS-Nr,Kantonskürzel,E,N,Sprache
Uetliberg,8143,2,Uitikon,248,ZH,679129.996163658,245273.287569473,de
Unterengstringen,8103,0,Unterengstringen,249,ZH,676284.410967292,251881.497216045,de
Fahrweid,8951,0,Unterengstringen,249,ZH,673670.7005324,250842.524334551,de
Urdorf,8902,0,Urdorf,250,ZH,674388.236676533,248448.205251658,de
Weiningen ZH,8104,0,Weiningen (ZH),251,ZH,675257.951195596,252680.710000634,de
Fahrweid,8951,0,Weiningen (ZH),251,ZH,674163.866237634,251530.163139139,de
Zürich,8001,0,Zürich,261,ZH,683284.09395853,247386.076912986,de
Zürich,8002,0,Zürich,261,ZH,682632.776032991,246102.198458995,de
Zürich,8003,0,Zürich,261,ZH,681379.59185523,247418.542403102,de
Zürich,8004,0,Zürich,261,ZH,681917.12508867,248029.016911493,de
Zürich,8005,0,Zürich,261,ZH,681700.845270911,249000.537925528,de
Zürich,8006,0,Zürich,261,ZH,683400.48082187,248912.963013067,de
Zürich,8008,0,Zürich,261,ZH,684826.474090445,245361.073845415,de
Zürich,8032,0,Zürich,261,ZH,685036.385399713,246815.011322955,de
Zürich,8037,0,Zürich,261,ZH,681952.915259318,250308.154458381,de
Zürich,8038,0,Zürich,261,ZH,682995.872847759,243993.5305654,de
Zürich,8041,0,Zürich,261,ZH,681399.246101202,243358.203734165,de
Zürich,8044,0,Zürich,261,ZH,685648.13192331,248350.082556047,de
Zürich,8045,0,Zürich,261,ZH,680623.302439427,245077.235970267,de
Zürich,8046,0,Zürich,261,ZH,680710.528933512,252924.422611334,de
Zürich,8047,0,Zürich,261,ZH,679178.442648419,247534.783038774,de
Zürich,8048,0,Zürich,261,ZH,678921.43479429,248960.683705244,de
Zürich,8049,0,Zürich,261,ZH,680141.388991787,251417.919499522,de
Zürich,8050,0,Zürich,261,ZH,683935.093959966,251830.717565103,de
Zürich,8051,0,Zürich,261,ZH,686069.266390601,250495.113567565,de
Zürich,8052,0,Zürich,261,ZH,683148.885319796,253212.462220136,de
Zürich,8053,0,Zürich,261,ZH,687536.197232629,246251.078954576,de
Zürich,8055,0,Zürich,261,ZH,679439.869727024,246459.331975234,de
Zürich,8057,0,Zürich,261,ZH,683696.684400829,250491.659711455,de
Zürich,8064,0,Zürich,261,ZH,679007.662893518,250286.219077684,de
Zollikerberg,8125,0,Zürich,261,ZH,687917.906828108,245124.599223897,de
Adliswil,8134,0,Zürich,261,ZH,682445.39291461,242376.727324528,de
Uitikon Waldegg,8142,0,Zürich,261,ZH,677825.719992037,246557.899040229,de
Uetliberg,8143,2,Zürich,261,ZH,679592.821317376,244845.095447467,de
Glattbrugg,8152,0,Zürich,261,ZH,684130.666747278,253847.448088916,de
Schlieren,8952,0,Zürich,261,ZH,677684.647420413,250547.769427789,de
Andelfingen,8450,0,Andelfingen,291,ZH,693251.662602765,272313.660742949,de
Adlikon b. Andelfingen,8452,0,Andelfingen,291,ZH,694309.877400655,271013.045831139,de
Humlikon,8457,0,Andelfingen,291,ZH,692612.504460549,270162.533118384,de
Waltalingen,8468,0,Stammheim,292,ZH,700749.477157504,275506.705751184,de
Guntalingen,8468,2,Stammheim,292,ZH,699995.607472485,276849.332464894,de
